projectName,numberOfClones,returnTypesAreSimilar,numberAndTypesOfParametersAreSameOrSimilar,atLeastOneParameterIsSimilar,returnTypesAndParametersAreSimilar,returnTypesAndAtLeastOneParameterAreSimilar,atLeastOneRootWordIsSimilar,allRootWordsAreSimilar,atLeastOneSynonymIsSimilar,atLeastOneSynonymForAllRootWordsIsSimilar,returnTypesAndAllRootWordsAndAllParametersAreSimilar,returnTypesAndAtleastOneRootWordAndAtLeastOneParameterAreSimilar,returnTypesAndAtLeastOneSynonymForAllRootWordsAndAtLeastOneParameterAreSimilar,isClonePairPublic,isClonePairPrivate,isClonePairPublicPrivateCombination
19_jmca,3440,100,99.941864,95.90116,99.941864,95.90116,57.5,2.1802325,77.35465,1.0174419,2.1802325,57.5,0,32.005814,67.87791,0
21_geo-google,1,0,100,100,0,0,100,100,100,100,100,100,0,100,0,0
22_byuic,10,100,100,100,100,100,80,80,80,10,80,80,0,10,90,0
23_jwbf,44,75,100,100,75,75,68.181816,68.181816,81.818184,63.636364,68.181816,68.181816,0,36.363636,13.636364,0
24_saxpath,9,100,100,100,100,100,55.555557,44.444447,77.77778,22.222223,44.444447,55.555557,0,0,0,0
25_jni-inchi,26,7.692308,61.538464,61.538464,0,0,84.61539,76.92308,84.61539,69.230774,76.92308,84.61539,0,100,0,0
27_gangup,13,100,100,100,100,100,84.61539,69.230774,84.61539,69.230774,69.230774,84.61539,0,76.92308,15.384616,0
29_apbsmem,64,100,100,100,100,100,87.5,85.9375,100,85.9375,85.9375,87.5,0,31.25,1.5625,0
31_xisemele,41,9.756097,85.36585,85.36585,2.4390242,2.4390242,31.707317,73.17073,73.17073,36.585365,73.17073,31.707317,0,100,0,0
32_httpanalyzer,15,93.333336,66.66667,66.66667,60.000004,60.000004,100,46.666668,80,46.666668,46.666668,100,0,53.333336,46.666668,0
33_javaviewcontrol,18,100,100,100,100,100,27.777779,0,38.88889,0,0,27.777779,0,66.66667,27.777779,0
35_corina,96,93.75,88.54167,88.54167,83.33333,83.33333,84.375,48.958336,79.16667,47.916664,48.958336,84.375,2.0833335,63.541668,13.541667,2.0833335
36_schemaspy,18,72.22222,100,94.44444,72.22222,66.66667,55.555557,16.666668,44.444447,11.111112,16.666668,55.555557,5.555556,50,44.444447,5.555556
37_petsoar,2,100,100,100,100,100,100,50,100,50,50,100,0,100,0,0
38_javabullboard,24,33.333336,25,95.83333,12.5,29.166666,95.83333,70.83333,95.83333,45.833336,70.83333,95.83333,0,75,20.833332,0
39_diffi,1,100,100,0,100,0,0,0,0,0,0,0,100,0,0,100
40_glengineer,17,88.2353,88.2353,100,76.47059,88.2353,70.588234,23.529411,70.588234,17.647058,23.529411,70.588234,0,52.941177,29.411766,0
41_follow,3,66.66667,100,100,66.66667,66.66667,100,66.66667,100,33.333336,66.66667,100,0,100,0,0
42_asphodel,3,100,0,0,0,0,100,100,100,100,100,100,0,100,0,0
43_lilith,1112,97.571945,34.892086,34.26259,33.363308,32.823742,97.212234,42.715828,96.94245,38.758995,42.715828,97.212234,0.6294964,95.59352,2.3381295,0.6294964
44_summa,215,71.62791,85.11628,92.09302,60.465115,65.11628,66.976746,70.69768,77.2093,65.11628,70.69768,66.976746,0,89.30232,5.116279,0
46_nutzenportfolio,118,96.61017,91.52542,97.45763,88.1356,94.067795,51.694916,50,80.50848,50,50,51.694916,0.84745765,93.220345,5.9322033,0.84745765
47_dvd-homevideo,7,71.42857,42.857143,42.857143,28.57143,28.57143,100,14.285715,57.14286,14.285715,14.285715,100,0,0,100,0
48_resources4j,34,0,100,100,0,0,100,91.17647,91.17647,79.411766,91.17647,100,0,100,0,0
49_diebierse,14,92.85714,100,100,92.85714,92.85714,7.1428576,0,7.1428576,0,0,7.1428576,0,100,0,0
50_biff,7,100,100,100,100,100,100,42.857143,100,28.57143,42.857143,100,0,14.285715,85.71429,0
51_jiprof,17,88.2353,70.588234,70.588234,70.588234,70.588234,64.70589,64.70589,76.47059,58.823532,64.70589,64.70589,11.764706,52.941177,0,11.764706
52_lagoon,12,100,91.66667,91.66667,91.66667,91.66667,66.66667,66.66667,75,50,66.66667,66.66667,0,91.66667,8.333334,0
54_db-everywhere,121,81.818184,99.17355,100,81.818184,81.818184,88.429756,78.5124,89.256195,77.68595,78.5124,88.429756,0,100,0,0
55_lavalamp,1,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
56_jhandballmoves,11,100,81.818184,81.818184,81.818184,81.818184,81.818184,54.545456,72.72727,45.454548,54.545456,81.818184,0,90.909096,9.090909,0
57_hft-bomberman,16,75,81.25,81.25,56.25,56.25,81.25,25,50,25,25,81.25,0,100,0,0
58_fps370,2,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
59_mygrid,385,92.72727,92.72727,92.72727,92.72727,92.72727,92.987015,92.987015,93.50649,92.987015,92.987015,92.987015,0,100,0,0
60_sugar,36,100,100,100,100,100,19.444445,13.888889,61.11111,5.555556,13.888889,19.444445,0,97.22222,0,0
61_noen,59,84.745766,71.18644,86.440674,57.627117,72.881355,89.830505,61.01695,86.440674,61.01695,61.01695,89.830505,0,88.1356,10.169491,0
62_dom4j,332,78.01205,52.10843,50.301205,31.626505,31.325302,58.433735,46.98795,56.024097,45.18072,46.98795,58.433735,1.2048192,89.15663,0.3012048,1.2048192
63_objectexplorer,289,23.529411,98.2699,98.2699,21.799309,21.799309,33.217995,14.1868515,33.910034,12.110726,14.1868515,33.217995,27.33564,52.595158,19.377163,27.33564
64_jtailgui,3,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
65_gsftp,12,100,100,100,100,100,91.66667,25,91.66667,16.666668,25,91.66667,0,33.333336,66.66667,0
66_openjms,3971,96.22262,89.85142,92.772606,87.257614,90.10325,91.26165,84.46235,93.07479,82.59884,84.46235,91.26165,0.025182573,98.9927,0.37773862,0.025182573
68_biblestudy,10,30.000002,70,70,0,0,40,90,90,50,90,40,0,100,0,0
69_lhamacaw,1061,72.95005,31.196985,95.193214,12.158341,68.23751,47.313854,11.592836,35.532516,10.273327,11.592836,47.313854,2.0735157,86.9934,10.65033,2.0735157
70_echodep,38,89.47369,92.10526,92.10526,86.84211,81.57895,92.10526,73.68421,97.368416,73.68421,73.68421,92.10526,2.631579,52.63158,23.684212,2.631579
71_ext4j,5,100,100,100,100,100,100,60.000004,100,60.000004,60.000004,100,0,60.000004,20,0
72_battlecry,2,100,100,100,100,100,50,0,0,0,0,50,0,100,0,0
73_fim1,74,87.83784,86.48649,86.48649,81.08108,81.08108,86.48649,17.567568,79.72973,12.162163,17.567568,86.48649,0,25.675674,74.324326,0
74_fixsuite,43,58.139534,13.953489,13.953489,13.953489,13.953489,58.139534,58.139534,58.139534,58.139534,58.139534,58.139534,2.3255813,97.674416,0,2.3255813
75_openhre,58,86.206894,67.24138,74.13793,53.448277,60.344826,70.68965,48.27586,63.793106,46.551723,48.27586,70.68965,0,84.48276,15.517241,0
77_io-project,3,100,33.333336,33.333336,33.333336,33.333336,0,0,0,0,0,0,0,100,0,0
78_caloriecount,294,82.993195,71.42857,73.12926,60.204082,61.904762,63.265305,51.02041,64.28571,44.21769,51.02041,63.265305,5.442177,73.809525,5.102041,5.442177
79_twfbplayer,12,100,100,75,100,75,58.333332,33.333336,75,16.666668,33.333336,58.333332,8.333334,75,8.333334,8.333334
80_wheelwebtool,1619,91.290924,93.45274,94.93514,88.696724,88.943794,6.3001857,34.465717,61.148857,15.873997,34.465717,6.3001857,0,99.69116,0,0
81_javathena,9,55.555557,77.77778,88.88889,33.333336,44.444447,88.88889,77.77778,100,77.77778,77.77778,88.88889,0,88.88889,11.111112,0
82_ipcalculator,9,100,100,88.88889,100,88.88889,100,100,100,100,100,100,0,22.222223,77.77778,0
83_xbus,64,64.0625,90.625,95.3125,57.8125,59.375,79.6875,45.3125,84.375,43.75,45.3125,79.6875,0,82.8125,6.25,0
85_shop,36,83.33333,91.66667,86.11111,77.77778,69.44444,55.555557,41.666664,58.333332,41.666664,41.666664,55.555557,0,97.22222,0,0
86_at-robots2-j,55,85.454544,87.27273,85.454544,72.72727,70.90909,56.363636,23.636364,63.636364,10.909091,23.636364,56.363636,3.6363635,92.72727,1.8181818,3.6363635
87_jaw-br,13,76.92308,84.61539,92.30769,69.230774,76.92308,76.92308,46.153847,84.61539,30.769232,46.153847,76.92308,0,53.846157,46.153847,0
88_jopenchart,13,92.30769,84.61539,84.61539,76.92308,76.92308,100,30.769232,92.30769,23.076923,30.769232,100,0,100,0,0
89_jiggler,769,55.526657,51.23537,74.38232,42.782833,50.585175,53.446037,49.6749,65.92978,45.90377,49.6749,53.446037,0.260078,84.0052,1.040312,0.260078
91_classviewer,3,100,100,100,100,100,100,100,100,100,100,100,0,66.66667,33.333336,0
92_jcvi-javacommon,1168,78.59589,79.79452,83.39041,72.85959,75.08562,85.445206,82.7911,85.70206,82.53425,82.7911,85.445206,0.4280822,95.03425,1.969178,0.4280822
93_quickserver,43,88.37209,74.4186,93.02326,72.093025,81.39535,100,53.488373,97.674416,41.860466,53.488373,100,4.6511626,60.465115,20.930233,4.6511626
95_celwars2009,2,100,100,100,100,100,100,100,100,100,100,100,0,50,50,0
96_heal,131,89.31297,68.70229,93.12977,58.01527,82.44275,76.33588,20.610687,70.99237,15.267176,20.610687,76.33588,1.5267175,79.38931,19.08397,1.5267175
97_feudalismgame,15,93.333336,93.333336,93.333336,86.666664,86.666664,40,6.666667,86.666664,6.666667,6.666667,40,0,100,0,0
99_newzgrabber,8,100,100,100,100,100,62.5,25,62.5,12.5,25,62.5,0,62.5,37.5,0
100_jgaap,1,100,100,100,100,100,0,100,100,100,100,0,0,100,0,0
101_netweaver,3287,68.69486,94.00669,84.75814,65.77426,65.98722,71.5546,62.24521,70.85488,61.94098,62.24521,71.5546,0,99.90874,0.060845755,0
102_squirrel-sql,1627,97.04978,78.11924,75.845116,76.090965,73.57099,89.858635,49.29318,86.90842,47.940998,49.29318,89.858635,0.4917025,79.71727,15.427166,0.4917025
103_sweethome3d,4889,91.92064,53.241974,54.407852,45.223972,46.389854,94.23195,24.892616,95.47965,15.58601,24.892616,94.23195,8.815709,83.53447,3.6612804,8.815709
104_vuze,9369,87.15978,39.833492,37.34657,28.914505,27.110683,58.181236,29.373466,57.017826,25.178782,29.373466,58.181236,1.3982282,85.227875,0.9285943,1.3982282
105_freemind,533,52.345215,87.054405,92.30769,44.46529,45.02814,44.840527,43.15197,51.594746,37.523453,43.15197,44.840527,7.5046906,56.472797,25.891182,7.5046906
106_checkstyle,79,97.46835,98.73418,98.73418,96.20254,96.20254,97.46835,93.67088,98.73418,93.67088,93.67088,97.46835,0,87.341774,10.126582,0
107_weka,4717,98.04961,88.06445,87.916046,86.686455,86.17765,93.597626,80.36887,89.90884,79.37248,80.36887,93.597626,0.3179987,81.471275,5.0667796,0.3179987
109_pdfsam,154,89.61039,92.85714,96.75324,83.11688,87.012985,88.31169,75.32467,92.20779,69.48052,75.32467,88.31169,9.740259,77.27273,11.038961,9.740259
110_firebird,3267,97.15335,91.031525,92.86807,88.49097,90.02142,19.804102,29.507193,56.320786,12.121212,29.507193,19.804102,0,99.41843,0.15304561,0
Total,50376,81.84,81.19,82.17,67.29,67.22,71.79,51.43,75.81,45.55,51.43,71.79,2.43,76.23,15.44,2.43
